item,meanprice,p_75,p_median,p_25,date
210403,4.3482919,5.1899996,4.3249998,3.3,01/06/2003
211007,1.4642982,1.79,1.5,1.1900001,01/06/2003
210414,1.3001087,1.87,0.995,0.84500003,01/06/2003
210808,7.0387754,8.7799997,6.3699999,5.25,01/06/2003
210406,9.4670038,10.32,9.0200005,8.3199997,01/06/2003
210802,5.7871699,6.6199999,5.835,4.5950003,01/06/2003
211014,3.718374,4.3600001,3.72,3.0599999,01/06/2003
210703,4.9971428,5.29,4.8899999,4.3899999,01/06/2003
210406,9.6005764,10.49,9.3900003,8.3500004,01/07/2003
211014,3.6976447,4.3600001,3.73,3.0599999,01/07/2003
210414,1.2998924,1.74,1.12,0.85000002,01/07/2003
210403,4.3553305,5.3200002,4.3050003,3.29,01/07/2003
210703,5.0138221,5.4099998,4.8899999,4.3899999,01/07/2003
210808,7.0100417,8.6750002,6.3599997,5.1999998,01/07/2003
211007,1.4305217,1.6900001,1.35,1.1900001,01/07/2003
210802,5.8223395,6.6399999,5.8499999,4.8499999,01/07/2003
210414,1.2928125,1.745,1.115,0.85000002,01/08/2003
210406,9.4521275,10.14,8.9899998,8.1800003,01/08/2003
210703,5.0252752,5.4699998,4.9499998,4.3800001,01/08/2003
210403,4.3008509,5.1100001,4.3600001,3.29,01/08/2003
210802,5.9057817,6.7399998,5.96,4.5900002,01/08/2003
210808,7.0929217,8.8800001,6.3699999,5.27,01/08/2003
211007,1.4264407,1.6900001,1.325,1.1900001,01/08/2003
211014,3.7028334,4.3600001,3.73,3.0599999,01/08/2003
210414,1.2963265,1.75,1.1,0.85000002,01/09/2003
210703,5.0118723,5.4699998,4.8899999,4.3800001,01/09/2003
210802,5.8652334,6.6999998,5.9300003,4.52,01/09/2003
211014,3.6873221,4.3600001,3.72,3.0599999,01/09/2003
211007,1.4316807,1.6900001,1.35,1.1900001,01/09/2003
210808,7.1432643,8.8800001,6.4849997,5.4899998,01/09/2003
210406,9.6563749,10.5,9.2449999,8.1900005,01/09/2003
210403,4.3574896,5.1799998,4.3699999,3.3,01/09/2003
210414,1.2843565,1.74,1.09,0.83999997,01/10/2003
210403,4.3500824,5.1999998,4.3699999,3.28,01/10/2003
210703,4.9646397,5.2600002,4.8000002,4.3699999,01/10/2003
210808,7.1560082,8.8800001,6.375,5.5100002,01/10/2003
211014,3.6927822,4.3600001,3.7249999,3.0450001,01/10/2003
210802,5.8838563,6.5999999,5.8499999,4.8499999,01/10/2003
211007,1.4380172,1.6900001,1.35,1.1900001,01/10/2003
210406,9.5756731,10.5,8.9899998,8.1300001,01/10/2003
210703,5.0657959,5.4899998,4.9499998,4.3899999,01/11/2003
210406,9.3035231,10.389999,8.8000002,7.6900001,01/11/2003
210403,4.3605971,5.3649998,4.3649998,3.1900001,01/11/2003
210414,1.285339,1.75,1.135,0.83999997,01/11/2003
211014,3.6726766,4.3600001,3.72,3.04,01/11/2003
210802,5.8675718,6.5999999,5.8499999,4.8499999,01/11/2003
210808,6.9727888,8.1400003,6.3699999,5.5,01/11/2003
211007,1.4129839,1.62,1.29,1.1799999,01/11/2003
210403,4.4157519,5.5100002,4.3800001,3.0799999,01/12/2003
210414,1.2823478,1.75,1.12,0.83999997,01/12/2003
210802,5.8933334,6.5900002,5.8499999,4.8600001,01/12/2003
211014,3.6763637,4.3800001,3.72,3.04,01/12/2003
210808,7.2294426,8.9700003,6.48,5.5100002,01/12/2003
210406,9.3044147,10.47,8.8000002,7.6700001,01/12/2003
210703,5.0697532,5.4899998,4.9899998,4.4000001,01/12/2003
211007,1.4603226,1.6900001,1.37,1.1900001,01/12/2003
210406,9.416151,10.47,8.9899998,7.8899999,01/01/2004
210414,1.3282204,1.79,1.15,0.85000002,01/01/2004
210808,7.1984444,8.8800001,6.4849997,5.5100002,01/01/2004
211007,1.4596063,1.6900001,1.35,1.1900001,01/01/2004
211014,3.6822879,4.3600001,3.73,3.0599999,01/01/2004
210403,4.3488212,5.5,4.3600001,3.0799999,01/01/2004
210802,5.7007937,6.5900002,5.5100002,4.395,01/01/2004
210703,5.0805974,5.3899999,4.9899998,4.5700002,01/01/2004
210802,6.015801,6.7600002,5.8499999,4.8499999,01/02/2004
210414,1.3436698,1.84,1.15,0.94,01/02/2004
211014,3.7826908,4.3899999,3.78,3.1099999,01/02/2004
210808,7.3368464,8.9949999,6.585,5.5550003,01/02/2004
210406,9.6790724,10.755,9.1899996,7.96,01/02/2004
210703,5.2052765,5.5,4.9899998,4.5900002,01/02/2004
210403,4.6376305,5.7199998,4.4000001,3.28,01/02/2004
211007,1.4658654,1.6900001,1.29,1.1900001,01/02/2004
211007,1.4461468,1.6900001,1.29,1.1900001,01/03/2004
210403,4.7106299,5.7800002,4.4899998,3.29,01/03/2004
210414,1.3962617,1.89,1.17,0.99000001,01/03/2004
210802,6.0223627,6.7600002,5.8499999,4.8499999,01/03/2004
211014,3.7811201,4.3899999,3.8,3.0699999,01/03/2004
210808,7.2813129,8.9700003,6.5900002,5.54,01/03/2004
210406,9.6927528,10.6,9.2600002,7.9899998,01/03/2004
210703,5.2304683,5.4899998,4.9899998,4.5999999,01/03/2004
210802,6.0609999,6.7600002,5.9099998,4.9650002,01/04/2004
210406,9.6343546,10.49,9.1899996,8.0699997,01/04/2004
211014,3.7594738,4.3899999,3.78,3.0599999,01/04/2004
210414,1.4130702,1.89,1.1800001,0.99000001,01/04/2004
211007,1.4449557,1.6900001,1.29,1.1900001,01/04/2004
210808,7.2742743,8.9899998,6.5700002,5.5100002,01/04/2004
210403,4.6685767,5.7199998,4.5749998,3.2849998,01/04/2004
210703,5.2090254,5.4899998,4.9899998,4.6100001,01/04/2004
210406,9.7749796,10.97,9.2200003,7.9899998,01/05/2004
211014,3.8372152,4.48,3.8599999,3.25,01/05/2004
210414,1.3698058,1.79,1.15,0.98000002,01/05/2004
211007,1.4310833,1.6900001,1.29,1.1799999,01/05/2004
210802,6.0015965,6.7600002,5.8699999,4.98,01/05/2004
210403,4.7272482,5.7800002,4.6199999,3.3099999,01/05/2004
210808,7.2748818,8.9799995,6.5700002,5.5599999,01/05/2004
210703,5.2113676,5.4899998,4.9899998,4.5999999,01/05/2004
210802,6.0200415,6.7600002,5.9549999,4.9849997,01/06/2004
210403,4.6663494,5.7800002,4.4849997,3.28,01/06/2004
210406,9.7869759,10.975,9.3900003,7.96,01/06/2004
210703,5.2243643,5.4899998,4.9899998,4.4899998,01/06/2004
211007,1.4076229,1.6900001,1.24,1.1799999,01/06/2004
210414,1.4210185,1.89,1.17,0.99000001,01/06/2004
211014,3.7513709,4.4899998,3.855,3.0599999,01/06/2004
210808,7.2193546,8.8400002,6.4899998,5.71,01/06/2004
211007,1.4032258,1.6900001,1.1900001,1.1799999,01/07/2004
210703,5.2249136,5.5,4.9899998,4.6100001,01/07/2004
210414,1.3906195,1.89,1.15,0.99000001,01/07/2004
210802,6.0258298,6.7600002,5.9899998,4.96,01/07/2004
210403,4.6534386,5.7800002,4.4000001,3.28,01/07/2004
211014,3.7877381,4.5,3.7750001,3.0599999,01/07/2004
210406,9.915451,11,9.3900003,8.2299995,01/07/2004
210808,7.3035798,8.9799995,6.5900002,5.75,01/07/2004
211007,1.4439286,1.6900001,1.35,1.1799999,01/08/2004
210406,9.8998747,10.99,9.3900003,8.2299995,01/08/2004
210403,4.7002788,5.7800002,4.4000001,3.29,01/08/2004
210703,5.1868534,5.4899998,4.9899998,4.4899998,01/08/2004
210414,1.3900909,1.89,1.135,0.99000001,01/08/2004
210808,7.2734537,8.8500004,6.5700002,5.8200002,01/08/2004
210802,6.055109,6.7399998,5.9899998,4.9699998,01/08/2004
211014,3.7969601,4.5,3.7350001,3.0599999,01/08/2004
210808,7.2699599,9.0699997,6.5700002,5.8200002,01/09/2004
210406,9.9634438,11,9.2399998,7.9899998,01/09/2004
210414,1.370577,1.89,1.11,0.99000001,01/09/2004
210802,6.0413594,6.7600002,5.9899998,4.9049997,01/09/2004
211014,3.8502033,4.5900002,3.8850002,3.0599999,01/09/2004
210403,4.6860495,5.7199998,4.3899999,3.3900001,01/09/2004
211007,1.3966666,1.6900001,1.26,1.1799999,01/09/2004
210703,5.245502,5.5,4.9899998,4.6900001,01/09/2004
210403,4.6662054,5.7199998,4.4000001,3.29,01/10/2004
210802,6.0501771,6.6999998,5.9899998,4.9499998,01/10/2004
210703,5.2390256,5.4899998,4.9899998,4.5950003,01/10/2004
211014,3.8175609,4.52,3.8850002,2.99,01/10/2004
210808,7.2391629,8.9499998,6.4899998,5.6500001,01/10/2004
210406,9.8231621,10.99,9.4799995,7.9899998,01/10/2004
211007,1.4258621,1.6900001,1.29,1.1799999,01/10/2004
210414,1.3769444,1.89,1.11,0.99000001,01/10/2004
210406,9.7644014,11,9.04,7.6500001,01/11/2004
210414,1.3661062,1.76,1.11,0.99000001,01/11/2004
211007,1.4140677,1.6900001,1.285,1.1799999,01/11/2004
211014,3.9781599,4.6799998,3.95,3.29,01/11/2004
210802,6.0930381,6.7600002,5.9899998,4.98,01/11/2004
210403,4.6101594,5.7199998,4.3899999,3.0599999,01/11/2004
210703,5.2312555,5.5,4.9899998,4.5900002,01/11/2004
210808,7.1372313,8.54,6.4949999,5.6799998,01/11/2004
211007,1.4290435,1.6900001,1.29,1.1799999,01/12/2004
210703,5.2541175,5.4899998,4.9899998,4.6300001,01/12/2004
210414,1.4513913,1.99,1.29,0.99000001,01/12/2004
210808,7.2635632,8.8500004,6.5799999,5.6799998,01/12/2004
210403,4.5844016,5.6900001,4.3800001,3.29,01/12/2004
210802,6.0483122,6.6399999,5.9899998,4.9899998,01/12/2004
210406,9.705451,10.995,9.0500002,7.6900001,01/12/2004
211014,4.0291128,4.6999998,3.99,3.29,01/12/2004
210703,5.1639662,5.4899998,4.9899998,4.4899998,01/01/2005
210406,9.5729046,10.99,9.0600004,7.6900001,01/01/2005
210414,1.4352992,1.97,1.1900001,0.99000001,01/01/2005
211014,3.9412889,4.5950003,3.95,3.28,01/01/2005
210802,5.9438396,6.6999998,5.9899998,4.8600001,01/01/2005
210403,4.6057692,5.7049999,4.3899999,3.49,01/01/2005
211007,1.4421818,1.6900001,1.37,1.1799999,01/01/2005
210808,7.2756572,8.9799995,6.5700002,5.52,01/01/2005
210406,9.6313763,11,9.0500002,7.6900001,01/02/2005
211014,3.9843154,4.5999999,3.99,3.3099999,01/02/2005
210802,6.0505071,6.8899999,5.9899998,4.98,01/02/2005
210808,7.1384649,8.8500004,6.5500002,5.52,01/02/2005
210414,1.5750526,1.99,1.49,0.99000001,01/02/2005
210403,4.5665689,5.5799999,4.3800001,3.51,01/02/2005
211007,1.4778724,1.6900001,1.3199999,1.28,01/02/2005
210703,5.1704149,5.4899998,4.9899998,4.4899998,01/02/2005
210414,1.5776635,1.99,1.49,0.99000001,01/03/2005
210406,9.8411551,11.06,9.79,7.9000001,01/03/2005
210403,4.6180415,5.5799999,4.3800001,3.73,01/03/2005
210808,7.2362347,8.9799995,6.5900002,5.52,01/03/2005
211014,4.0166669,4.8000002,4.0500002,3.3299999,01/03/2005
210802,6.0965624,6.8899999,6.1199999,4.9899998,01/03/2005
210703,5.1894035,5.4899998,4.9899998,4.5900002,01/03/2005
211007,1.4598,1.6900001,1.29,1.28,01/03/2005
210808,7.1859522,8.9249992,6.5700002,5.52,01/04/2005
210406,9.719367,11.07,9.5900002,7.5900002,01/04/2005
211014,4.0247531,4.8000002,3.99,3.4000001,01/04/2005
210703,5.1763272,5.4899998,4.9899998,4.5799999,01/04/2005
210403,4.5999246,5.4899998,4.3899999,3.72,01/04/2005
211007,1.4691072,1.6900001,1.29,1.28,01/04/2005
210414,1.5383929,1.99,1.49,0.99000001,01/04/2005
210802,6.1133623,6.8000002,6.0999999,5.25,01/04/2005
211014,3.8378732,4.4000001,3.9400001,3.29,01/05/2005
210406,9.3203249,10.79,8.8950005,7.6900001,01/05/2005
210808,7.0054922,8.7450008,6.4899998,5.52,01/05/2005
210403,4.3265791,5.3800001,4.1199999,3.3699999,01/05/2005
211007,1.4379528,1.6900001,1.29,1.1799999,01/05/2005
210802,5.9344068,6.6399999,5.9949999,5.25,01/05/2005
210703,4.9983034,5.3199997,4.9899998,4.6350002,01/05/2005
210414,1.4176984,1.89,1.29,0.99000001,01/05/2005
210403,4.651341,5.5599999,4.3800001,3.8800001,01/06/2005
210406,9.8196888,10.99,9.6800003,7.98,01/06/2005
211014,4.005547,4.6900001,3.99,3.46,01/06/2005
210703,5.1665368,5.4899998,4.9899998,4.5900002,01/06/2005
210808,7.1615138,8.7200003,6.5900002,5.52,01/06/2005
211007,1.4303279,1.6900001,1.29,1.28,01/06/2005
210802,6.0409522,6.8000002,5.96,4.9899998,01/06/2005
210414,1.4774359,1.98,1.48,0.99000001,01/06/2005
210808,7.0618076,8.7849998,6.4899998,5.52,01/07/2005
210703,5.2099128,5.6199999,5,4.8000002,01/07/2005
211007,1.4188334,1.6900001,1.29,1.1900001,01/07/2005
211014,4.0019841,4.6300001,3.9549999,3.46,01/07/2005
210802,6.1381974,6.8499999,6,5.2600002,01/07/2005
210414,1.4581356,1.98,1.1900001,0.99000001,01/07/2005
210403,4.6567187,5.5799999,4.3800001,3.8599999,01/07/2005
210406,9.7836361,10.99,9.4849997,7.98,01/07/2005
210703,5.1959276,5.5500002,4.9899998,4.6199999,01/08/2005
210802,6.1743751,6.8699999,5.9949999,5.3000002,01/08/2005
211007,1.462,1.6900001,1.33,1.28,01/08/2005
211014,3.9988446,4.6900001,3.99,3.3900001,01/08/2005
210403,4.6491504,5.5799999,4.3899999,3.8599999,01/08/2005
210808,7.1816864,8.7200003,6.5700002,5.71,01/08/2005
210414,1.4718852,1.97,1.39,0.99000001,01/08/2005
210406,9.8187723,10.99,9.3649998,7.98,01/08/2005
210403,4.6325402,5.54,4.3850002,3.8599999,01/09/2005
210406,9.8792801,11.030001,9.4849997,7.98,01/09/2005
211014,3.9877689,4.6100001,3.96,3.4000001,01/09/2005
210802,6.1593275,6.9200001,5.96,5.2600002,01/09/2005
210703,5.2282109,5.6500001,4.9899998,4.8299999,01/09/2005
210414,1.4316379,1.89,1.39,0.99000001,01/09/2005
211007,1.4652991,1.6900001,1.35,1.28,01/09/2005
210808,7.1682611,8.3599997,6.5599999,5.7600002,01/09/2005
210406,9.6514053,10.98,9.1450005,7.98,01/10/2005
211014,4.0016599,4.6900001,3.96,3.48,01/10/2005
210403,4.6410346,5.3800001,4.3800001,3.8599999,01/10/2005
210808,7.1909428,8.2250004,6.5799999,5.6949997,01/10/2005
210703,5.1808143,5.5300002,4.9899998,4.6300001,01/10/2005
211007,1.5029752,1.6900001,1.49,1.29,01/10/2005
210414,1.4061607,1.9300001,1.15,0.99000001,01/10/2005
210802,6.2492976,6.9499998,6.1700001,5.2600002,01/10/2005
210802,6.2427778,6.9200001,5.9899998,5.4000001,01/11/2005
211014,4.0314398,4.6900001,3.99,3.4400001,01/11/2005
210414,1.4578261,1.97,1.39,0.99000001,01/11/2005
210808,7.1639357,8.0900002,6.5900002,5.7800002,01/11/2005
210703,5.2487555,5.6500001,4.9899998,4.8800001,01/11/2005
211007,1.5690179,1.79,1.49,1.48,01/11/2005
210403,4.6160607,5.3800001,4.3649998,3.8599999,01/11/2005
210406,9.5381937,10.82,9.1949997,7.46,01/11/2005
210403,4.5957632,5.3800001,4.3800001,3.8599999,01/12/2005
211007,1.573,1.79,1.49,1.48,01/12/2005
210406,9.6744766,10.98,9.8900003,7.8800001,01/12/2005
210414,1.4701681,1.97,1.39,0.99000001,01/12/2005
210802,6.1878572,6.9200001,6.1100001,5.2600002,01/12/2005
211014,4.0439024,4.8000002,4.0349998,3.49,01/12/2005
210808,7.2392607,8.25,6.5999999,5.9899998,01/12/2005
210703,5.2310963,5.6350002,5.0299997,4.6999998,01/12/2005
210414,1.4966956,1.99,1.39,0.99000001,01/01/2006
210802,6.2653713,6.9699998,6.1599998,5.4000001,01/01/2006
210703,5.2569737,5.7049999,5.0550003,4.8150001,01/01/2006
211007,1.5638212,1.79,1.49,1.48,01/01/2006
210406,9.6878185,10.8,9.8000002,7.98,01/01/2006
211014,4.0242519,4.8000002,4.0749998,3.4000001,01/01/2006
210403,4.6304908,5.3800001,4.3800001,3.8599999,01/01/2006
210808,7.3240552,8.3599997,6.5999999,5.9499998,01/01/2006
210403,4.518259,5.3800001,4.3800001,3.8499999,01/02/2006
211007,1.527,1.6900001,1.49,1.39,01/02/2006
211014,3.9784899,4.6999998,3.99,3.3299999,01/02/2006
210414,1.5202727,1.99,1.485,0.99000001,01/02/2006
210406,9.7295275,10.79,9.4899998,7.98,01/02/2006
210802,6.2728572,6.9899998,5.9899998,5.3450003,01/02/2006
210808,7.2847543,8.3599997,6.5900002,5.8150001,01/02/2006
210703,5.2866979,5.6999998,5.0700002,4.8299999,01/02/2006
210808,7.1613879,8.3000002,6.5700002,5.8000002,01/03/2006
210703,5.2849998,5.71,4.9949999,4.8499999,01/03/2006
210414,1.4878182,1.99,1.39,0.99000001,01/03/2006
210406,9.4828072,10.43,9.3649998,7.8999996,01/03/2006
211014,4.0043321,4.8200002,4,3.3099999,01/03/2006
210403,4.6258397,5.3800001,4.3899999,3.8599999,01/03/2006
210802,6.2832327,6.9650002,5.9949999,5.4650002,01/03/2006
211007,1.5740336,1.79,1.49,1.48,01/03/2006
210802,6.2294116,6.98,6.1099997,5.3000002,01/04/2006
211014,3.9623201,4.6999998,4.0150003,3.3099999,01/04/2006
211007,1.5760504,1.79,1.49,1.48,01/04/2006
210403,4.6446924,5.3800001,4.3899999,3.8599999,01/04/2006
210703,5.2314219,5.6799998,4.9899998,4.6399999,01/04/2006
210414,1.5013393,1.99,1.4349999,0.99000001,01/04/2006
210808,7.2151208,8.3050003,6.5999999,5.8649998,01/04/2006
210406,9.8471184,10.98,9.5,7.98,01/04/2006
210802,6.2417917,6.9899998,6.1099997,5.3000002,01/05/2006
211014,3.9681377,4.7800002,4,3.3099999,01/05/2006
210808,7.3069649,8.3599997,6.9899998,5.9499998,01/05/2006
210703,5.3021622,5.6999998,4.9899998,4.8299999,01/05/2006
210403,4.7273412,5.5650001,4.3899999,3.8599999,01/05/2006
210414,1.4386916,1.97,1.39,0.99000001,01/05/2006
210406,10.214752,11,9.9499998,7.9899998,01/05/2006
211007,1.5878992,1.79,1.52,1.48,01/05/2006
211007,1.5886885,1.79,1.52,1.48,01/06/2006
210406,10.296116,11.8,9.9899998,7.9899998,01/06/2006
210802,6.3049998,6.9899998,6.1700001,5.4899998,01/06/2006
210703,5.3278165,5.6999998,4.9899998,4.8699999,01/06/2006
210414,1.4461321,1.97,1.1900001,0.99000001,01/06/2006
211014,4.0400834,4.8150001,4.0150003,3.5,01/06/2006
210403,4.6837068,5.3800001,4.3899999,3.8599999,01/06/2006
210808,7.3531251,8.3599997,6.9899998,5.9349999,01/06/2006
210802,6.2723455,7.1999998,6.1100001,5.4899998,01/07/2006
210414,1.4262617,1.97,1.1900001,0.99000001,01/07/2006
210406,10.472552,11.5,9.9899998,8.9799995,01/07/2006
210703,5.3527465,5.71,5.02,4.96,01/07/2006
211007,1.5795,1.79,1.49,1.4200001,01/07/2006
210403,4.8659468,5.3800001,4.6000004,4.2449999,01/07/2006
