v1,v2,v6,v8,v9
Apache County,Arizona,"24,235",With health insurance coverage,
Apache County,Arizona,"7,698",With health insurance coverage,
Cochise County,Arizona,"28,230",With health insurance coverage,"106,411"
Cochise County,Arizona,"55,846",With health insurance coverage,
Cochise County,Arizona,"22,335",With health insurance coverage,
Coconino County,Arizona,"24,759",With health insurance coverage,"94,592"
Coconino County,Arizona,"59,426",With health insurance coverage,
Coconino County,Arizona,"10,407",With health insurance coverage,
Maricopa County,Arizona,"923,816",With health insurance coverage,"3,209,108"
Maricopa County,Arizona,"1,846,514",With health insurance coverage,
Maricopa County,Arizona,"438,778",With health insurance coverage,
Mohave County,Arizona,"35,042",With health insurance coverage,"160,272"
Mohave County,Arizona,"82,721",With health insurance coverage,
Mohave County,Arizona,"42,509",With health insurance coverage,
Navajo County,Arizona,"27,457",With health insurance coverage,"89,222"
Navajo County,Arizona,"48,611",With health insurance coverage,
Navajo County,Arizona,"13,154",With health insurance coverage,
Pima County,Arizona,"209,950",With health insurance coverage,"837,502"
Pima County,Arizona,"477,940",With health insurance coverage,
Pima County,Arizona,"149,612",With health insurance coverage,
Pinal County,Arizona,"72,366",With health insurance coverage,"253,948"
Pinal County,Arizona,"140,517",With health insurance coverage,
Pinal County,Arizona,"41,065",With health insurance coverage,
Yavapai County,Arizona,"32,564",With health insurance coverage,"171,182"
Yavapai County,Arizona,"89,116",With health insurance coverage,
Yavapai County,Arizona,"49,502",With health insurance coverage,
Yuma County,Arizona,"46,508",With health insurance coverage,"154,117"
Yuma County,Arizona,"71,359",With health insurance coverage,
Yuma County,Arizona,"36,250",With health insurance coverage,
Benton County,Arkansas,"52,286",With health insurance coverage,"172,106"
Benton County,Arkansas,"96,364",With health insurance coverage,
Benton County,Arkansas,"23,456",With health insurance coverage,
Craighead County,Arkansas,"21,947",With health insurance coverage,"76,785"
Craighead County,Arkansas,"44,383",With health insurance coverage,
Craighead County,Arkansas,"10,455",With health insurance coverage,
Faulkner County,Arkansas,"24,505",With health insurance coverage,"91,490"
Faulkner County,Arkansas,"56,847",With health insurance coverage,
Faulkner County,Arkansas,"10,138",With health insurance coverage,
Garland County,Arkansas,"19,666",With health insurance coverage,"75,961"
Garland County,Arkansas,"36,886",With health insurance coverage,
Garland County,Arkansas,"19,409",With health insurance coverage,
Jefferson County,Arkansas,"15,723",With health insurance coverage,"60,049"
Jefferson County,Arkansas,"34,867",With health insurance coverage,
Jefferson County,Arkansas,"9,459",With health insurance coverage,
Lonoke County,Arkansas,"16,269",With health insurance coverage,"52,791"
Lonoke County,Arkansas,"29,735",With health insurance coverage,
Lonoke County,Arkansas,"6,787",With health insurance coverage,
Pulaski County,Arkansas,"89,683",With health insurance coverage,"318,660"
Pulaski County,Arkansas,"185,548",With health insurance coverage,
Pulaski County,Arkansas,"43,429",With health insurance coverage,
Saline County,Arkansas,"21,573",With health insurance coverage,"83,264"
Saline County,Arkansas,"48,339",With health insurance coverage,
Saline County,Arkansas,"13,352",With health insurance coverage,
Sebastian County,Arkansas,"27,990",With health insurance coverage,"98,482"
Sebastian County,Arkansas,"54,791",With health insurance coverage,
Sebastian County,Arkansas,"15,701",With health insurance coverage,
Washington County,Arkansas,"48,162",With health insurance coverage,"157,321"
Washington County,Arkansas,"90,906",With health insurance coverage,
Washington County,Arkansas,"18,253",With health insurance coverage,
White County,Arkansas,"16,435",With health insurance coverage,"59,994"
White County,Arkansas,"33,100",With health insurance coverage,
White County,Arkansas,"10,459",With health insurance coverage,
Alameda County,California,"327,702",With health insurance coverage,"1,295,169"
Alameda County,California,"812,665",With health insurance coverage,
Alameda County,California,"154,802",With health insurance coverage,
Butte County,California,"41,775",With health insurance coverage,"183,098"
Butte County,California,"109,661",With health insurance coverage,
Butte County,California,"31,662",With health insurance coverage,
Contra Costa County,California,"233,472",With health insurance coverage,"912,366"
Contra Costa County,California,"561,755",With health insurance coverage,
Contra Costa County,California,"117,139",With health insurance coverage,
El Dorado County,California,"35,923",With health insurance coverage,"152,479"
El Dorado County,California,"96,621",With health insurance coverage,
El Dorado County,California,"19,935",With health insurance coverage,
Fresno County,California,"248,917",With health insurance coverage,"722,880"
Fresno County,California,"392,006",With health insurance coverage,
Fresno County,California,"81,957",With health insurance coverage,
Humboldt County,California,"23,236",With health insurance coverage,"100,166"
Humboldt County,California,"61,442",With health insurance coverage,
Humboldt County,California,"15,488",With health insurance coverage,
Imperial County,California,"42,220",With health insurance coverage,"120,505"
Imperial County,California,"61,387",With health insurance coverage,
Imperial County,California,"16,898",With health insurance coverage,
Kern County,California,"215,171",With health insurance coverage,"617,684"
Kern County,California,"333,973",With health insurance coverage,
Kern County,California,"68,540",With health insurance coverage,
Kings County,California,"35,871",With health insurance coverage,"98,896"
Kings County,California,"52,376",With health insurance coverage,
Kings County,California,"10,649",With health insurance coverage,
Lake County,California,"11,554",With health insurance coverage,"50,592"
Lake County,California,"29,544",With health insurance coverage,
Lake County,California,"9,494",With health insurance coverage,
Los Angeles County,California,"2,238,171",With health insurance coverage,"7,655,504"
Los Angeles County,California,"4,422,822",With health insurance coverage,
Los Angeles County,California,"994,511",With health insurance coverage,
Madera County,California,"36,933",With health insurance coverage,"106,479"
Madera County,California,"55,081",With health insurance coverage,
Madera County,California,"14,465",With health insurance coverage,
Marin County,California,"44,190",With health insurance coverage,"217,276"
Marin County,California,"134,473",With health insurance coverage,
Marin County,California,"38,613",With health insurance coverage,
Mendocino County,California,"16,306",With health insurance coverage,"68,053"
Mendocino County,California,"39,612",With health insurance coverage,
Mendocino County,California,"12,135",With health insurance coverage,
Merced County,California,"71,506",With health insurance coverage,"196,770"
Merced County,California,"102,026",With health insurance coverage,
Merced County,California,"23,238",With health insurance coverage,
Monterey County,California,"99,708",With health insurance coverage,"309,567"
Monterey County,California,"169,521",With health insurance coverage,
Monterey County,California,"40,338",With health insurance coverage,
Napa County,California,"27,418",With health insurance coverage,"115,654"
Napa County,California,"69,365",With health insurance coverage,
Napa County,California,"18,871",With health insurance coverage,
Nevada County,California,"15,047",With health insurance coverage,"81,701"
Nevada County,California,"49,497",With health insurance coverage,
Nevada County,California,"17,157",With health insurance coverage,
Orange County,California,"685,612",With health insurance coverage,"2,494,169"
Orange County,California,"1,478,995",With health insurance coverage,
Orange County,California,"329,562",With health insurance coverage,
Placer County,California,"72,005",With health insurance coverage,"310,425"
Placer County,California,"188,289",With health insurance coverage,
Placer County,California,"50,131",With health insurance coverage,
Riverside County,California,"508,244",With health insurance coverage,"1,659,977"
Riverside County,California,"916,684",With health insurance coverage,
Riverside County,California,"235,049",With health insurance coverage,
Sacramento County,California,"344,211",With health insurance coverage,"1,206,106"
Sacramento County,California,"708,489",With health insurance coverage,
Sacramento County,California,"153,406",With health insurance coverage,
San Bernardino County,California,"519,368",With health insurance coverage,"1,583,810"
San Bernardino County,California,"901,228",With health insurance coverage,
San Bernardino County,California,"163,214",With health insurance coverage,
San Diego County,California,"658,150",With health insurance coverage,"2,397,723"
San Diego County,California,"1,413,873",With health insurance coverage,
San Diego County,California,"325,700",With health insurance coverage,
San Francisco County,California,"113,508",With health insurance coverage,"723,203"
San Francisco County,California,"494,241",With health insurance coverage,
San Francisco County,California,"115,454",With health insurance coverage,
San Joaquin County,California,"181,699",With health insurance coverage,"560,993"
San Joaquin County,California,"314,136",With health insurance coverage,
San Joaquin County,California,"65,158",With health insurance coverage,
San Luis Obispo County,California,"44,642",With health insurance coverage,"220,021"
San Luis Obispo County,California,"138,633",With health insurance coverage,
San Luis Obispo County,California,"36,746",With health insurance coverage,
San Mateo County,California,"147,575",With health insurance coverage,"625,559"
San Mateo County,California,"387,621",With health insurance coverage,
San Mateo County,California,"90,363",With health insurance coverage,
Santa Barbara County,California,"86,560",With health insurance coverage,"334,413"
Santa Barbara County,California,"198,258",With health insurance coverage,
Santa Barbara County,California,"49,595",With health insurance coverage,
Santa Clara County,California,"407,451",With health insurance coverage,"1,563,975"
Santa Clara County,California,"974,163",With health insurance coverage,
Santa Clara County,California,"182,361",With health insurance coverage,
Santa Cruz County,California,"50,856",With health insurance coverage,"216,906"
Santa Cruz County,California,"139,384",With health insurance coverage,
Santa Cruz County,California,"26,666",With health insurance coverage,
Shasta County,California,"34,921",With health insurance coverage,"146,119"
Shasta County,California,"84,332",With health insurance coverage,
Shasta County,California,"26,866",With health insurance coverage,
Solano County,California,"96,157",With health insurance coverage,"348,879"
Solano County,California,"208,458",With health insurance coverage,
Solano County,California,"44,264",With health insurance coverage,
Sonoma County,California,"94,824",With health insurance coverage,"400,373"
Sonoma County,California,"247,123",With health insurance coverage,
Sonoma County,California,"58,426",With health insurance coverage,
Stanislaus County,California,"131,573",With health insurance coverage,"417,843"
Stanislaus County,California,"234,796",With health insurance coverage,
Stanislaus County,California,"51,474",With health insurance coverage,
Sutter County,California,"23,358",With health insurance coverage,"74,240"
Sutter County,California,"39,941",With health insurance coverage,
Sutter County,California,"10,941",With health insurance coverage,
Tulare County,California,"111,525",With health insurance coverage,"323,455"
Tulare County,California,"173,408",With health insurance coverage,
Tulare County,California,"38,522",With health insurance coverage,
Ventura County,California,"184,883",With health insurance coverage,"664,172"
Ventura County,California,"389,599",With health insurance coverage,
Ventura County,California,"89,690",With health insurance coverage,
Yolo County,California,"43,404",With health insurance coverage,"176,267"
Yolo County,California,"114,736",With health insurance coverage,
Yolo County,California,"18,127",With health insurance coverage,
Yuba County,California,"19,968",With health insurance coverage,"63,735"
Yuba County,California,"37,370",With health insurance coverage,
Yuba County,California,"6,397",With health insurance coverage,
Adams County,Colorado,"105,393",With health insurance coverage,"340,848"
Adams County,Colorado,"202,774",With health insurance coverage,
Adams County,Colorado,"32,681",With health insurance coverage,
Arapahoe County,Colorado,"119,977",With health insurance coverage,"459,111"
Arapahoe County,Colorado,"283,152",With health insurance coverage,
Arapahoe County,Colorado,"55,982",With health insurance coverage,
Boulder County,Colorado,"55,283",With health insurance coverage,"251,743"
Boulder County,Colorado,"172,615",With health insurance coverage,
Boulder County,Colorado,"23,845",With health insurance coverage,
Denver County,Colorado,"115,500",With health insurance coverage,"463,336"
Denver County,Colorado,"289,235",With health insurance coverage,
Denver County,Colorado,"58,601",With health insurance coverage,
Douglas County,Colorado,"77,091",With health insurance coverage,"260,634"
Douglas County,Colorado,"167,338",With health insurance coverage,
Douglas County,Colorado,"16,205",With health insurance coverage,
El Paso County,Colorado,"139,485",With health insurance coverage,"484,629"
El Paso County,Colorado,"290,535",With health insurance coverage,
El Paso County,Colorado,"54,609",With health insurance coverage,
Jefferson County,Colorado,"105,919",With health insurance coverage,"459,729"
Jefferson County,Colorado,"294,164",With health insurance coverage,
Jefferson County,Colorado,"59,646",With health insurance coverage,
Larimer County,Colorado,"59,017",With health insurance coverage,"255,613"
Larimer County,Colorado,"166,194",With health insurance coverage,
Larimer County,Colorado,"30,402",With health insurance coverage,
Mesa County,Colorado,"27,866",With health insurance coverage,"117,996"
Mesa County,Colorado,"68,317",With health insurance coverage,
Mesa County,Colorado,"21,813",With health insurance coverage,
Pueblo County,Colorado,"32,464",With health insurance coverage,"126,828"
Pueblo County,Colorado,"71,629",With health insurance coverage,
Pueblo County,Colorado,"22,735",With health insurance coverage,
Weld County,Colorado,"56,418",With health insurance coverage,"201,650"
Weld County,Colorado,"125,827",With health insurance coverage,
Weld County,Colorado,"19,405",With health insurance coverage,
Fairfield County,Connecticut,"209,553",With health insurance coverage,"787,246"
Fairfield County,Connecticut,"467,312",With health insurance coverage,
Fairfield County,Connecticut,"110,381",With health insurance coverage,
Hartford County,Connecticut,"194,080",With health insurance coverage,"793,869"
Hartford County,Connecticut,"481,569",With health insurance coverage,
Hartford County,Connecticut,"118,220",With health insurance coverage,
Litchfield County,Connecticut,"38,782",With health insurance coverage,"173,162"
Litchfield County,Connecticut,"108,004",With health insurance coverage,
Litchfield County,Connecticut,"26,376",With health insurance coverage,
Middlesex County,Connecticut,"34,360",With health insurance coverage,"151,257"
Middlesex County,Connecticut,"94,967",With health insurance coverage,
Middlesex County,Connecticut,"21,930",With health insurance coverage,
New Haven County,Connecticut,"187,026",With health insurance coverage,"761,856"
New Haven County,Connecticut,"468,450",With health insurance coverage,
New Haven County,Connecticut,"106,380",With health insurance coverage,
New London County,Connecticut,"55,711",With health insurance coverage,"232,576"
New London County,Connecticut,"143,228",With health insurance coverage,
New London County,Connecticut,"33,637",With health insurance coverage,
Tolland County,Connecticut,"29,101",With health insurance coverage,"136,997"
Tolland County,Connecticut,"91,474",With health insurance coverage,
Tolland County,Connecticut,"16,422",With health insurance coverage,
Windham County,Connecticut,"23,995",With health insurance coverage,"101,279"
Windham County,Connecticut,"63,637",With health insurance coverage,
Windham County,Connecticut,"13,647",With health insurance coverage,
Kent County,Delaware,"37,024",With health insurance coverage,"136,073"
Kent County,Delaware,"79,723",With health insurance coverage,
Kent County,Delaware,"19,326",With health insurance coverage,
New Castle County,Delaware,"117,609",With health insurance coverage,"475,084"
New Castle County,Delaware,"296,973",With health insurance coverage,
New Castle County,Delaware,"60,502",With health insurance coverage,
Sussex County,Delaware,"36,091",With health insurance coverage,"159,812"
Sussex County,Delaware,"87,201",With health insurance coverage,
Sussex County,Delaware,"36,520",With health insurance coverage,
#VALUE!,#VALUE!,"107,266",With health insurance coverage,"536,263"
#VALUE!,#VALUE!,"364,123",With health insurance coverage,
#VALUE!,#VALUE!,"64,874",With health insurance coverage,
Alachua County,Florida,"39,042",With health insurance coverage,"198,530"
Alachua County,Florida,"135,100",With health insurance coverage,
Alachua County,Florida,"24,388",With health insurance coverage,
Bay County,Florida,"32,633",With health insurance coverage,"127,516"
Bay County,Florida,"71,673",With health insurance coverage,
Bay County,Florida,"23,210",With health insurance coverage,
Brevard County,Florida,"90,707",With health insurance coverage,"438,050"
Brevard County,Florida,"240,537",With health insurance coverage,
Brevard County,Florida,"106,806",With health insurance coverage,
Broward County,Florida,"335,850",With health insurance coverage,"1,358,918"
Broward County,Florida,"782,563",With health insurance coverage,
Broward County,Florida,"240,505",With health insurance coverage,
Charlotte County,Florida,"19,199",With health insurance coverage,"120,409"
Charlotte County,Florida,"57,566",With health insurance coverage,
Charlotte County,Florida,"43,644",With health insurance coverage,
Citrus County,Florida,"19,218",With health insurance coverage,"113,052"
Citrus County,Florida,"53,061",With health insurance coverage,
Citrus County,Florida,"40,773",With health insurance coverage,
Clay County,Florida,"40,771",With health insurance coverage,"154,624"
Clay County,Florida,"95,682",With health insurance coverage,
Clay County,Florida,"18,171",With health insurance coverage,
Collier County,Florida,"47,318",With health insurance coverage,"238,055"
Collier County,Florida,"108,517",With health insurance coverage,
Collier County,Florida,"82,220",With health insurance coverage,
Columbia County,Florida,"12,730",With health insurance coverage,"59,074"
Columbia County,Florida,"35,121",With health insurance coverage,
Columbia County,Florida,"11,223",With health insurance coverage,
Duval County,Florida,"191,694",With health insurance coverage,"694,636"
Duval County,Florida,"414,802",With health insurance coverage,
Duval County,Florida,"88,140",With health insurance coverage,
Escambia County,Florida,"57,791",With health insurance coverage,"234,665"
Escambia County,Florida,"132,215",With health insurance coverage,
Escambia County,Florida,"44,659",With health insurance coverage,
Flagler County,Florida,"13,337",With health insurance coverage,"74,884"
Flagler County,Florida,"39,887",With health insurance coverage,
Flagler County,Florida,"21,660",With health insurance coverage,
Hernando County,Florida,"27,876",With health insurance coverage,"139,105"
Hernando County,Florida,"67,069",With health insurance coverage,
Hernando County,Florida,"44,160",With health insurance coverage,
Highlands County,Florida,"15,405",With health insurance coverage,"78,484"
Highlands County,Florida,"31,646",With health insurance coverage,
Highlands County,Florida,"31,433",With health insurance coverage,
Hillsborough County,Florida,"246,222",With health insurance coverage,"949,259"
Hillsborough County,Florida,"567,911",With health insurance coverage,
Hillsborough County,Florida,"135,126",With health insurance coverage,
Indian River County,Florida,"17,780",With health insurance coverage,"102,539"
Indian River County,Florida,"50,874",With health insurance coverage,
Indian River County,Florida,"33,885",With health insurance coverage,
Lake County,Florida,"51,584",With health insurance coverage,"255,436"
Lake County,Florida,"116,487",With health insurance coverage,
Lake County,Florida,"87,365",With health insurance coverage,
Lee County,Florida,"99,514",With health insurance coverage,"472,270"
Lee County,Florida,"240,193",With health insurance coverage,
Lee County,Florida,"132,563",With health insurance coverage,
Leon County,Florida,"51,303",With health insurance coverage,"229,521"
Leon County,Florida,"155,407",With health insurance coverage,
Leon County,Florida,"22,811",With health insurance coverage,
Manatee County,Florida,"49,736",With health insurance coverage,"247,704"
Manatee County,Florida,"127,155",With health insurance coverage,
Manatee County,Florida,"70,813",With health insurance coverage,
Marion County,Florida,"50,271",With health insurance coverage,"254,923"
Marion County,Florida,"124,868",With health insurance coverage,
Marion County,Florida,"79,784",With health insurance coverage,
Martin County,Florida,"20,780",With health insurance coverage,"113,035"
Martin County,Florida,"56,668",With health insurance coverage,
Martin County,Florida,"35,587",With health insurance coverage,
Miami-Dade County,Florida,"425,648",With health insurance coverage,"1,708,076"
Miami-Dade County,Florida,"932,679",With health insurance coverage,
Miami-Dade County,Florida,"349,749",With health insurance coverage,
Monroe County,Florida,"8,686",With health insurance coverage,"53,919"
Monroe County,Florida,"34,724",With health insurance coverage,
Monroe County,Florida,"10,509",With health insurance coverage,
Nassau County,Florida,"11,402",With health insurance coverage,"54,374"
Nassau County,Florida,"33,141",With health insurance coverage,
Nassau County,Florida,"9,831",With health insurance coverage,
Okaloosa County,Florida,"34,431",With health insurance coverage,"137,566"
Okaloosa County,Florida,"80,125",With health insurance coverage,
Okaloosa County,Florida,"23,010",With health insurance coverage,
Orange County,Florida,"226,771",With health insurance coverage,"832,320"
Orange County,Florida,"505,850",With health insurance coverage,
Orange County,Florida,"99,699",With health insurance coverage,
Osceola County,Florida,"54,959",With health insurance coverage,"197,776"
Osceola County,Florida,"114,686",With health insurance coverage,
Osceola County,Florida,"28,131",With health insurance coverage,
Palm Beach County,Florida,"217,882",With health insurance coverage,"1,019,424"
Palm Beach County,Florida,"530,377",With health insurance coverage,
Palm Beach County,Florida,"271,165",With health insurance coverage,
Pasco County,Florida,"81,379",With health insurance coverage,"372,429"
Pasco County,Florida,"194,862",With health insurance coverage,
Pasco County,Florida,"96,188",With health insurance coverage,
Pinellas County,Florida,"149,944",With health insurance coverage,"742,865"
Pinellas County,Florida,"410,467",With health insurance coverage,
Pinellas County,Florida,"182,454",With health insurance coverage,
Polk County,Florida,"116,380",With health insurance coverage,"470,107"
Polk County,Florida,"255,028",With health insurance coverage,
Polk County,Florida,"98,699",With health insurance coverage,
Putnam County,Florida,"13,024",With health insurance coverage,"55,937"
Putnam County,Florida,"29,021",With health insurance coverage,
Putnam County,Florida,"13,892",With health insurance coverage,
St. Johns County,Florida,"33,733",With health insurance coverage,"153,926"
St. Johns County,Florida,"95,167",With health insurance coverage,
St. Johns County,Florida,"25,026",With health insurance coverage,
St. Lucie County,Florida,"45,244",With health insurance coverage,"194,839"
St. Lucie County,Florida,"98,505",With health insurance coverage,
St. Lucie County,Florida,"51,090",With health insurance coverage,
Santa Rosa County,Florida,"30,148",With health insurance coverage,"121,593"
Santa Rosa County,Florida,"73,766",With health insurance coverage,
Santa Rosa County,Florida,"17,679",With health insurance coverage,
Sarasota County,Florida,"48,979",With health insurance coverage,"303,369"
Sarasota County,Florida,"145,787",With health insurance coverage,
Sarasota County,Florida,"108,603",With health insurance coverage,
Seminole County,Florida,"80,131",With health insurance coverage,"338,628"
Seminole County,Florida,"213,061",With health insurance coverage,
Seminole County,Florida,"45,436",With health insurance coverage,
Sumter County,Florida,"8,839",With health insurance coverage,"49,443"
Sumter County,Florida,"23,806",With health insurance coverage,
Sumter County,Florida,"16,798",With health insurance coverage,
Volusia County,Florida,"80,778",With health insurance coverage,"404,883"
Volusia County,Florida,"224,290",With health insurance coverage,
Volusia County,Florida,"99,815",With health insurance coverage,
Barrow County,Georgia,"16,269",With health insurance coverage,"50,626"
Barrow County,Georgia,"28,293",With health insurance coverage,
Barrow County,Georgia,"6,064",With health insurance coverage,
Bartow County,Georgia,"22,844",With health insurance coverage,"79,939"
Bartow County,Georgia,"48,001",With health insurance coverage,
Bartow County,Georgia,"9,094",With health insurance coverage,
Bibb County,Georgia,"35,704",With health insurance coverage,"125,479"
Bibb County,Georgia,"70,180",With health insurance coverage,
Bibb County,Georgia,"19,595",With health insurance coverage,
Bulloch County,Georgia,"13,345",With health insurance coverage,"55,438"
Bulloch County,Georgia,"35,704",With health insurance coverage,
Bulloch County,Georgia,"6,389",With health insurance coverage,
Carroll County,Georgia,"27,388",With health insurance coverage,"94,423"
Carroll County,Georgia,"55,165",With health insurance coverage,
Carroll County,Georgia,"11,870",With health insurance coverage,
Chatham County,Georgia,"55,840",With health insurance coverage,"200,491"
Chatham County,Georgia,"114,932",With health insurance coverage,
Chatham County,Georgia,"29,719",With health insurance coverage,
Cherokee County,Georgia,"56,397",With health insurance coverage,"179,301"
Cherokee County,Georgia,"107,786",With health insurance coverage,
Cherokee County,Georgia,"15,118",With health insurance coverage,
Clarke County,Georgia,"18,533",With health insurance coverage,"93,025"
Clarke County,Georgia,"64,990",With health insurance coverage,
Clarke County,Georgia,"9,502",With health insurance coverage,
Clayton County,Georgia,"69,533",With health insurance coverage,"208,198"
Clayton County,Georgia,"120,428",With health insurance coverage,
Clayton County,Georgia,"18,237",With health insurance coverage,
Cobb County,Georgia,"166,096",With health insurance coverage,"591,213"
Cobb County,Georgia,"367,579",With health insurance coverage,
Cobb County,Georgia,"57,538",With health insurance coverage,
Columbia County,Georgia,"26,904",With health insurance coverage,"95,323"
Columbia County,Georgia,"58,051",With health insurance coverage,
Columbia County,Georgia,"10,368",With health insurance coverage,
Coweta County,Georgia,"32,208",With health insurance coverage,"105,153"
Coweta County,Georgia,"61,885",With health insurance coverage,
Coweta County,Georgia,"11,060",With health insurance coverage,
DeKalb County,Georgia,"155,800",With health insurance coverage,"571,903"
DeKalb County,Georgia,"355,599",With health insurance coverage,
DeKalb County,Georgia,"60,504",With health insurance coverage,
Dougherty County,Georgia,"23,817",With health insurance coverage,"77,481"
Dougherty County,Georgia,"41,650",With health insurance coverage,
Dougherty County,Georgia,"12,014",With health insurance coverage,
Douglas County,Georgia,"32,922",With health insurance coverage,"105,465"
Douglas County,Georgia,"63,377",With health insurance coverage,
Douglas County,Georgia,"9,166",With health insurance coverage,
Fayette County,Georgia,"23,032",With health insurance coverage,"95,948"
Fayette County,Georgia,"59,567",With health insurance coverage,
Fayette County,Georgia,"13,349",With health insurance coverage,
Floyd County,Georgia,"21,290",With health insurance coverage,"77,832"
Floyd County,Georgia,"43,301",With health insurance coverage,
Floyd County,Georgia,"13,241",With health insurance coverage,
Forsyth County,Georgia,"47,671",With health insurance coverage,"149,292"
Forsyth County,Georgia,"89,167",With health insurance coverage,
Forsyth County,Georgia,"12,454",With health insurance coverage,
Fulton County,Georgia,"221,795",With health insurance coverage,"817,087"
Fulton County,Georgia,"517,023",With health insurance coverage,
Fulton County,Georgia,"78,269",With health insurance coverage,
Glynn County,Georgia,"16,504",With health insurance coverage,"60,531"
Glynn County,Georgia,"33,012",With health insurance coverage,
Glynn County,Georgia,"11,015",With health insurance coverage,
Gwinnett County,Georgia,"193,901",With health insurance coverage,"614,275"
Gwinnett County,Georgia,"373,368",With health insurance coverage,
Gwinnett County,Georgia,"47,006",With health insurance coverage,
Hall County,Georgia,"45,396",With health insurance coverage,"141,247"
Hall County,Georgia,"78,487",With health insurance coverage,
Hall County,Georgia,"17,364",With health insurance coverage,
Henry County,Georgia,"52,182",With health insurance coverage,"166,216"
Henry County,Georgia,"100,282",With health insurance coverage,
