County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Lee County,Alabama, Alabama,"Lee County, Alabama",Total:,"131,394",Total,Total
Lee County,Alabama, Alabama,"Lee County, Alabama",. Under 18 years:,"29,186", Under 18 years,Under 18 years
Lee County,Alabama, Alabama,"Lee County, Alabama",. . With health insurance coverage,"26,638",  With health insurance coverage,With health insurance coverage
Lee County,Alabama, Alabama,"Lee County, Alabama",. . No health insurance coverage,"2,548",  No health insurance coverage,No health insurance coverage
Lee County,Alabama, Alabama,"Lee County, Alabama",. 18 to 64 years:,"90,497", 18 to 64 years,18 to 64 years
Lee County,Alabama, Alabama,"Lee County, Alabama",. . With health insurance coverage,"79,266",  With health insurance coverage,With health insurance coverage
Lee County,Alabama, Alabama,"Lee County, Alabama",. . No health insurance coverage,"11,231",  No health insurance coverage,No health insurance coverage
Lee County,Alabama, Alabama,"Lee County, Alabama",. 65 years or over:,"11,711", 65 years or over,65 years or over
Lee County,Alabama, Alabama,"Lee County, Alabama",. . With health insurance coverage,"11,616",  With health insurance coverage,With health insurance coverage
Lee County,Alabama, Alabama,"Lee County, Alabama",. . No health insurance coverage,95,  No health insurance coverage,No health insurance coverage
Limestone County,Alabama, Alabama,"Limestone County, Alabama",Total:,"73,944",Total,Total
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. Under 18 years:,"19,136", Under 18 years,Under 18 years
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. . With health insurance coverage,"18,300",  With health insurance coverage,With health insurance coverage
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. . No health insurance coverage,836,  No health insurance coverage,No health insurance coverage
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. 18 to 64 years:,"45,880", 18 to 64 years,18 to 64 years
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. . With health insurance coverage,"38,388",  With health insurance coverage,With health insurance coverage
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. . No health insurance coverage,"7,492",  No health insurance coverage,No health insurance coverage
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. 65 years or over:,"8,928", 65 years or over,65 years or over
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. . With health insurance coverage,"8,880",  With health insurance coverage,With health insurance coverage
Limestone County,Alabama, Alabama,"Limestone County, Alabama",. . No health insurance coverage,48,  No health insurance coverage,No health insurance coverage
Madison County,Alabama, Alabama,"Madison County, Alabama",Total:,"313,667",Total,Total
Madison County,Alabama, Alabama,"Madison County, Alabama",. Under 18 years:,"77,289", Under 18 years,Under 18 years
Madison County,Alabama, Alabama,"Madison County, Alabama",. . With health insurance coverage,"71,185",  With health insurance coverage,With health insurance coverage
Madison County,Alabama, Alabama,"Madison County, Alabama",. . No health insurance coverage,"6,104",  No health insurance coverage,No health insurance coverage
Madison County,Alabama, Alabama,"Madison County, Alabama",. 18 to 64 years:,"197,721", 18 to 64 years,18 to 64 years
Madison County,Alabama, Alabama,"Madison County, Alabama",. . With health insurance coverage,"165,251",  With health insurance coverage,With health insurance coverage
Madison County,Alabama, Alabama,"Madison County, Alabama",. . No health insurance coverage,"32,470",  No health insurance coverage,No health insurance coverage
Madison County,Alabama, Alabama,"Madison County, Alabama",. 65 years or over:,"38,657", 65 years or over,65 years or over
Madison County,Alabama, Alabama,"Madison County, Alabama",. . With health insurance coverage,"38,421",  With health insurance coverage,With health insurance coverage
Madison County,Alabama, Alabama,"Madison County, Alabama",. . No health insurance coverage,236,  No health insurance coverage,No health insurance coverage
Marshall County,Alabama, Alabama,"Marshall County, Alabama",Total:,"87,678",Total,Total
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. Under 18 years:,"22,923", Under 18 years,Under 18 years
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. . With health insurance coverage,"20,344",  With health insurance coverage,With health insurance coverage
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. . No health insurance coverage,"2,579",  No health insurance coverage,No health insurance coverage
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. 18 to 64 years:,"52,315", 18 to 64 years,18 to 64 years
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. . With health insurance coverage,"37,667",  With health insurance coverage,With health insurance coverage
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. . No health insurance coverage,"14,648",  No health insurance coverage,No health insurance coverage
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. 65 years or over:,"12,440", 65 years or over,65 years or over
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. . With health insurance coverage,"12,206",  With health insurance coverage,With health insurance coverage
Marshall County,Alabama, Alabama,"Marshall County, Alabama",. . No health insurance coverage,234,  No health insurance coverage,No health insurance coverage
Mobile County,Alabama, Alabama,"Mobile County, Alabama",Total:,"401,292",Total,Total
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. Under 18 years:,"106,489", Under 18 years,Under 18 years
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. . With health insurance coverage,"94,299",  With health insurance coverage,With health insurance coverage
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. . No health insurance coverage,"12,190",  No health insurance coverage,No health insurance coverage
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. 18 to 64 years:,"246,544", 18 to 64 years,18 to 64 years
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. . With health insurance coverage,"194,809",  With health insurance coverage,With health insurance coverage
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. . No health insurance coverage,"51,735",  No health insurance coverage,No health insurance coverage
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. 65 years or over:,"48,259", 65 years or over,65 years or over
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. . With health insurance coverage,"48,195",  With health insurance coverage,With health insurance coverage
Mobile County,Alabama, Alabama,"Mobile County, Alabama",. . No health insurance coverage,64,  No health insurance coverage,No health insurance coverage
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",Total:,"217,986",Total,Total
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. Under 18 years:,"57,621", Under 18 years,Under 18 years
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. . With health insurance coverage,"53,485",  With health insurance coverage,With health insurance coverage
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. . No health insurance coverage,"4,136",  No health insurance coverage,No health insurance coverage
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. 18 to 64 years:,"134,090", 18 to 64 years,18 to 64 years
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. . With health insurance coverage,"113,826",  With health insurance coverage,With health insurance coverage
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. . No health insurance coverage,"20,264",  No health insurance coverage,No health insurance coverage
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. 65 years or over:,"26,275", 65 years or over,65 years or over
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. . With health insurance coverage,"26,148",  With health insurance coverage,With health insurance coverage
Montgomery County,Alabama, Alabama,"Montgomery County, Alabama",. . No health insurance coverage,127,  No health insurance coverage,No health insurance coverage
Morgan County,Alabama, Alabama,"Morgan County, Alabama",Total:,"113,584",Total,Total
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. Under 18 years:,"27,451", Under 18 years,Under 18 years
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. . With health insurance coverage,"25,024",  With health insurance coverage,With health insurance coverage
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. . No health insurance coverage,"2,427",  No health insurance coverage,No health insurance coverage
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. 18 to 64 years:,"70,231", 18 to 64 years,18 to 64 years
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. . With health insurance coverage,"56,647",  With health insurance coverage,With health insurance coverage
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. . No health insurance coverage,"13,584",  No health insurance coverage,No health insurance coverage
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. 65 years or over:,"15,902", 65 years or over,65 years or over
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. . With health insurance coverage,"15,819",  With health insurance coverage,With health insurance coverage
Morgan County,Alabama, Alabama,"Morgan County, Alabama",. . No health insurance coverage,83,  No health insurance coverage,No health insurance coverage
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",Total:,"76,729",Total,Total
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. Under 18 years:,"20,021", Under 18 years,Under 18 years
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. . With health insurance coverage,"18,972",  With health insurance coverage,With health insurance coverage
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. . No health insurance coverage,"1,049",  No health insurance coverage,No health insurance coverage
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. 18 to 64 years:,"48,086", 18 to 64 years,18 to 64 years
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. . With health insurance coverage,"38,934",  With health insurance coverage,With health insurance coverage
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. . No health insurance coverage,"9,152",  No health insurance coverage,No health insurance coverage
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. 65 years or over:,"8,622", 65 years or over,65 years or over
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. . With health insurance coverage,"8,622",  With health insurance coverage,With health insurance coverage
St. Clair County,Alabama, Alabama,"St. Clair County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Shelby County,Alabama, Alabama,"Shelby County, Alabama",Total:,"187,270",Total,Total
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. Under 18 years:,"49,944", Under 18 years,Under 18 years
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. . With health insurance coverage,"47,898",  With health insurance coverage,With health insurance coverage
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. . No health insurance coverage,"2,046",  No health insurance coverage,No health insurance coverage
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. 18 to 64 years:,"120,631", 18 to 64 years,18 to 64 years
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. . With health insurance coverage,"108,359",  With health insurance coverage,With health insurance coverage
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. . No health insurance coverage,"12,272",  No health insurance coverage,No health insurance coverage
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. 65 years or over:,"16,695", 65 years or over,65 years or over
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. . With health insurance coverage,"16,695",  With health insurance coverage,With health insurance coverage
Shelby County,Alabama, Alabama,"Shelby County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Talladega County,Alabama, Alabama,"Talladega County, Alabama",Total:,"77,946",Total,Total
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. Under 18 years:,"18,703", Under 18 years,Under 18 years
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. . With health insurance coverage,"17,517",  With health insurance coverage,With health insurance coverage
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. . No health insurance coverage,"1,186",  No health insurance coverage,No health insurance coverage
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. 18 to 64 years:,"48,557", 18 to 64 years,18 to 64 years
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. . With health insurance coverage,"39,313",  With health insurance coverage,With health insurance coverage
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. . No health insurance coverage,"9,244",  No health insurance coverage,No health insurance coverage
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. 65 years or over:,"10,686", 65 years or over,65 years or over
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. . With health insurance coverage,"10,686",  With health insurance coverage,With health insurance coverage
Talladega County,Alabama, Alabama,"Talladega County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",Total:,"177,239",Total,Total
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. Under 18 years:,"41,064", Under 18 years,Under 18 years
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. . With health insurance coverage,"38,476",  With health insurance coverage,With health insurance coverage
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. . No health insurance coverage,"2,588",  No health insurance coverage,No health insurance coverage
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. 18 to 64 years:,"116,343", 18 to 64 years,18 to 64 years
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. . With health insurance coverage,"99,798",  With health insurance coverage,With health insurance coverage
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. . No health insurance coverage,"16,545",  No health insurance coverage,No health insurance coverage
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. 65 years or over:,"19,832", 65 years or over,65 years or over
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. . With health insurance coverage,"19,832",  With health insurance coverage,With health insurance coverage
Tuscaloosa County,Alabama, Alabama,"Tuscaloosa County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Walker County,Alabama, Alabama,"Walker County, Alabama",Total:,"68,036",Total,Total
Walker County,Alabama, Alabama,"Walker County, Alabama",. Under 18 years:,"15,573", Under 18 years,Under 18 years
Walker County,Alabama, Alabama,"Walker County, Alabama",. . With health insurance coverage,"14,542",  With health insurance coverage,With health insurance coverage
Walker County,Alabama, Alabama,"Walker County, Alabama",. . No health insurance coverage,"1,031",  No health insurance coverage,No health insurance coverage
Walker County,Alabama, Alabama,"Walker County, Alabama",. 18 to 64 years:,"41,825", 18 to 64 years,18 to 64 years
Walker County,Alabama, Alabama,"Walker County, Alabama",. . With health insurance coverage,"33,060",  With health insurance coverage,With health insurance coverage
Walker County,Alabama, Alabama,"Walker County, Alabama",. . No health insurance coverage,"8,765",  No health insurance coverage,No health insurance coverage
Walker County,Alabama, Alabama,"Walker County, Alabama",. 65 years or over:,"10,638", 65 years or over,65 years or over
Walker County,Alabama, Alabama,"Walker County, Alabama",. . With health insurance coverage,"10,638",  With health insurance coverage,With health insurance coverage
Walker County,Alabama, Alabama,"Walker County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",Total:,"266,898",Total,Total
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. Under 18 years:,"72,446", Under 18 years,Under 18 years
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. . With health insurance coverage,"65,689",  With health insurance coverage,With health insurance coverage
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. . No health insurance coverage,"6,757",  No health insurance coverage,No health insurance coverage
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. 18 to 64 years:,"174,876", 18 to 64 years,18 to 64 years
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. . With health insurance coverage,"142,816",  With health insurance coverage,With health insurance coverage
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. . No health insurance coverage,"32,060",  No health insurance coverage,No health insurance coverage
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. 65 years or over:,"19,576", 65 years or over,65 years or over
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. . With health insurance coverage,"19,441",  With health insurance coverage,With health insurance coverage
Anchorage Municipality,Alaska, Alaska,"Anchorage Municipality, Alaska",. . No health insurance coverage,135,  No health insurance coverage,No health insurance coverage
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",Total:,"91,598",Total,Total
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. Under 18 years:,"28,048", Under 18 years,Under 18 years
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. . With health insurance coverage,"26,747",  With health insurance coverage,With health insurance coverage
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. . No health insurance coverage,"1,301",  No health insurance coverage,No health insurance coverage
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. 18 to 64 years:,"58,387", 18 to 64 years,18 to 64 years
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. . With health insurance coverage,"48,045",  With health insurance coverage,With health insurance coverage
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. . No health insurance coverage,"10,342",  No health insurance coverage,No health insurance coverage
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. 65 years or over:,"5,163", 65 years or over,65 years or over
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. . With health insurance coverage,"5,163",  With health insurance coverage,With health insurance coverage
