State,Gender,Disability,Rate,Gender2
New Jersey,Male,Hearing,2.7,Male
New Mexico,Female,Hearing,3.8,Both
New Mexico,Male,Hearing,6.3,Male
New York,Female,Hearing,2.5,Both
New York,Male,Hearing,3,Male
North Carolina,Female,Hearing,2.9,Both
North Carolina,Male,Hearing,4.3,Male
North Dakota,Female,Hearing,2.8,Both
North Dakota,Male,Hearing,5.4,Male
Ohio,Female,Hearing,3.1,Both
Ohio,Male,Hearing,4.4,Male
Oklahoma,Female,Hearing,3.8,Both
Oklahoma,Male,Hearing,6.2,Male
Oregon,Female,Hearing,3.5,Both
Oregon,Male,Hearing,5.9,Male
Pennsylvania,Female,Hearing,3.2,Both
Pennsylvania,Male,Hearing,4.5,Male
Rhode Island,Female,Hearing,3.1,Both
Rhode Island,Male,Hearing,4,Male
South Carolina,Female,Hearing,3,Both
South Carolina,Male,Hearing,4.8,Male
South Dakota,Female,Hearing,2.7,Both
South Dakota,Male,Hearing,6.4,Male
Tennessee,Female,Hearing,3.6,Both
Tennessee,Male,Hearing,5.3,Male
Texas,Female,Hearing,2.6,Both
Texas,Male,Hearing,3.9,Male
Utah,Female,Hearing,2,Both
Utah,Male,Hearing,3.5,Male
Vermont,Female,Hearing,3.5,Both
Vermont,Male,Hearing,6.2,Male
Virginia,Female,Hearing,2.8,Both
Virginia,Male,Hearing,4,Male
Washington,Female,Hearing,3,Both
Washington,Male,Hearing,4.7,Male
West Virginia,Female,Hearing,5.3,Both
West Virginia,Male,Hearing,7.9,Male
Wisconsin,Female,Hearing,2.9,Both
Wisconsin,Male,Hearing,4.5,Male
Wyoming,Female,Hearing,2.9,Both
Wyoming,Male,Hearing,6,Male
Alabama,Female,Ambulatory,10.8,Both
Alabama,Male,Ambulatory,7.7,Male
Alaska,Female,Ambulatory,6.5,Both
Alaska,Male,Ambulatory,4.6,Male
Arizona,Female,Ambulatory,7.5,Both
Arizona,Male,Ambulatory,6.3,Male
Arkansas,Female,Ambulatory,11.4,Both
Arkansas,Male,Ambulatory,9,Male
California,Female,Ambulatory,6.7,Both
California,Male,Ambulatory,4.7,Male
Colorado,Female,Ambulatory,5.6,Both
Colorado,Male,Ambulatory,4.3,Male
Connecticut,Female,Ambulatory,6.8,Both
Connecticut,Male,Ambulatory,5,Male
Delaware,Female,Ambulatory,8.1,Both
Delaware,Male,Ambulatory,5.4,Male
Florida,Female,Ambulatory,8.7,Both
Florida,Male,Ambulatory,6.6,Male
Georgia,Female,Ambulatory,8,Both
Georgia,Male,Ambulatory,6,Male
Hawaii,Female,Ambulatory,6.9,Both
Hawaii,Male,Ambulatory,5.2,Male
Idaho,Female,Ambulatory,7.1,Both
Idaho,Male,Ambulatory,6.3,Male
Illinois,Female,Ambulatory,7.2,Both
Illinois,Male,Ambulatory,5.4,Male
Indiana,Female,Ambulatory,8.5,Both
Indiana,Male,Ambulatory,6,Male
Iowa,Female,Ambulatory,6.7,Both
Iowa,Male,Ambulatory,4.9,Male
Kansas,Female,Ambulatory,8.4,Both
Kansas,Male,Ambulatory,6,Male
Kentucky,Female,Ambulatory,11,Both
Kentucky,Male,Ambulatory,8.7,Male
Louisiana,Female,Ambulatory,9.2,Both
Louisiana,Male,Ambulatory,7.6,Male
Maine,Female,Ambulatory,8.9,Both
Maine,Male,Ambulatory,7.1,Male
Maryland,Female,Ambulatory,7,Both
Maryland,Male,Ambulatory,4.9,Male
Massachusetts,Female,Ambulatory,6.7,Both
Massachusetts,Male,Ambulatory,4.7,Male
Michigan,Female,Ambulatory,8.4,Both
Michigan,Male,Ambulatory,6.4,Male
Minnesota,Female,Ambulatory,5.2,Both
Minnesota,Male,Ambulatory,4.4,Male
Mississippi,Female,Ambulatory,11.3,Both
Mississippi,Male,Ambulatory,8.8,Male
Missouri,Female,Ambulatory,9.1,Both
Missouri,Male,Ambulatory,7.2,Male
Montana,Female,Ambulatory,7.8,Both
Montana,Male,Ambulatory,5.7,Male
Nebraska,Female,Ambulatory,7.1,Both
Nebraska,Male,Ambulatory,5.1,Male
Nevada,Female,Ambulatory,7.7,Both
Nevada,Male,Ambulatory,6,Male
New Hampshire,Female,Ambulatory,7.3,Both
New Hampshire,Male,Ambulatory,5.2,Male
New Jersey,Female,Ambulatory,6.8,Both
New Jersey,Male,Ambulatory,4.6,Male
New Mexico,Female,Ambulatory,9.3,Both
New Mexico,Male,Ambulatory,8.1,Male
New York,Female,Ambulatory,7.9,Both
New York,Male,Ambulatory,5.5,Male
North Carolina,Female,Ambulatory,8.6,Both
North Carolina,Male,Ambulatory,6.5,Male
North Dakota,Female,Ambulatory,6.6,Both
North Dakota,Male,Ambulatory,3.5,Male
Ohio,Female,Ambulatory,8.6,Both
Ohio,Male,Ambulatory,6.2,Male
Oklahoma,Female,Ambulatory,9.8,Both
Oklahoma,Male,Ambulatory,7.6,Male
Oregon,Female,Ambulatory,8,Both
Oregon,Male,Ambulatory,6.2,Male
Pennsylvania,Female,Ambulatory,8.6,Both
Pennsylvania,Male,Ambulatory,6.3,Male
Rhode Island,Female,Ambulatory,8,Both
Rhode Island,Male,Ambulatory,5.2,Male
South Carolina,Female,Ambulatory,8.8,Both
South Carolina,Male,Ambulatory,6.8,Male
South Dakota,Female,Ambulatory,6.4,Both
South Dakota,Male,Ambulatory,5,Male
Tennessee,Female,Ambulatory,9.6,Both
Tennessee,Male,Ambulatory,7.3,Male
Texas,Female,Ambulatory,7,Both
Texas,Male,Ambulatory,5.2,Male
Utah,Female,Ambulatory,4.7,Both
Utah,Male,Ambulatory,3.4,Male
Vermont,Female,Ambulatory,7.9,Both
Vermont,Male,Ambulatory,6.1,Male
Virginia,Female,Ambulatory,7.2,Both
Virginia,Male,Ambulatory,5.3,Male
Washington,Female,Ambulatory,7.5,Both
Washington,Male,Ambulatory,5.5,Male
West Virginia,Female,Ambulatory,11.9,Both
West Virginia,Male,Ambulatory,11.2,Male
Wisconsin,Female,Ambulatory,6.9,Both
Wisconsin,Male,Ambulatory,5.3,Male
Wyoming,Female,Ambulatory,7.4,Both
Wyoming,Male,Ambulatory,5.3,Male
Alabama,Female,Cognitive,6.1,Both
Alabama,Male,Cognitive,6.5,Male
Alaska,Female,Cognitive,4.7,Both
Alaska,Male,Cognitive,4.4,Male
Arizona,Female,Cognitive,4.5,Both
Arizona,Male,Cognitive,5.6,Male
Arkansas,Female,Cognitive,6.8,Both
Arkansas,Male,Cognitive,7.5,Male
California,Female,Cognitive,4.3,Both
California,Male,Cognitive,4.3,Male
Colorado,Female,Cognitive,4,Both
Colorado,Male,Cognitive,4.4,Male
Connecticut,Female,Cognitive,5,Both
Connecticut,Male,Cognitive,5.3,Male
Delaware,Female,Cognitive,6.1,Both
Delaware,Male,Cognitive,6.2,Male
Florida,Female,Cognitive,5.3,Both
Florida,Male,Cognitive,5.3,Male
Georgia,Female,Cognitive,5.1,Both
Georgia,Male,Cognitive,5.6,Male
Hawaii,Female,Cognitive,4.4,Both
Hawaii,Male,Cognitive,4.1,Male
Idaho,Female,Cognitive,5.2,Both
Idaho,Male,Cognitive,6.1,Male
Illinois,Female,Cognitive,4.1,Both
Illinois,Male,Cognitive,4.6,Male
Indiana,Female,Cognitive,5.4,Both
Indiana,Male,Cognitive,5.6,Male
Iowa,Female,Cognitive,4.8,Both
Iowa,Male,Cognitive,5.2,Male
Kansas,Female,Cognitive,6.1,Both
Kansas,Male,Cognitive,5.9,Male
Kentucky,Female,Cognitive,7.4,Both
Kentucky,Male,Cognitive,7.7,Male
Louisiana,Female,Cognitive,6.4,Both
Louisiana,Male,Cognitive,6.6,Male
Maine,Female,Cognitive,6.4,Both
Maine,Male,Cognitive,8.1,Male
Maryland,Female,Cognitive,4.6,Both
Maryland,Male,Cognitive,4.9,Male
Massachusetts,Female,Cognitive,5,Both
Massachusetts,Male,Cognitive,5.1,Male
Michigan,Female,Cognitive,5.7,Both
Michigan,Male,Cognitive,6.2,Male
Minnesota,Female,Cognitive,4.3,Both
Minnesota,Male,Cognitive,4.8,Male
Mississippi,Female,Cognitive,6.1,Both
Mississippi,Male,Cognitive,6.8,Male
Missouri,Female,Cognitive,6,Both
Missouri,Male,Cognitive,6.5,Male
Montana,Female,Cognitive,4.8,Both
Montana,Male,Cognitive,5.2,Male
Nebraska,Female,Cognitive,4.8,Both
Nebraska,Male,Cognitive,4.1,Male
Nevada,Female,Cognitive,4.7,Both
Nevada,Male,Cognitive,4.5,Male
New Hampshire,Female,Cognitive,5.3,Both
New Hampshire,Male,Cognitive,5.3,Male
New Jersey,Female,Cognitive,4,Both
New Jersey,Male,Cognitive,4.4,Male
New Mexico,Female,Cognitive,6.8,Both
New Mexico,Male,Cognitive,6.8,Male
New York,Female,Cognitive,4.4,Both
New York,Male,Cognitive,4.8,Male
North Carolina,Female,Cognitive,5.2,Both
North Carolina,Male,Cognitive,5.6,Male
North Dakota,Female,Cognitive,4,Both
North Dakota,Male,Cognitive,4.1,Male
Ohio,Female,Cognitive,5.6,Both
Ohio,Male,Cognitive,5.9,Male
Oklahoma,Female,Cognitive,5.8,Both
Oklahoma,Male,Cognitive,6.4,Male
Oregon,Female,Cognitive,6.2,Both
Oregon,Male,Cognitive,6.7,Male
Pennsylvania,Female,Cognitive,6.1,Both
Pennsylvania,Male,Cognitive,6.3,Male
Rhode Island,Female,Cognitive,5.6,Both
Rhode Island,Male,Cognitive,5.6,Male
South Carolina,Female,Cognitive,5.1,Both
South Carolina,Male,Cognitive,6,Male
South Dakota,Female,Cognitive,3.6,Both
South Dakota,Male,Cognitive,4.6,Male
Tennessee,Female,Cognitive,6.2,Both
Tennessee,Male,Cognitive,6.7,Male
Texas,Female,Cognitive,4.6,Both
Texas,Male,Cognitive,5,Male
Utah,Female,Cognitive,4.2,Both
Utah,Male,Cognitive,4.2,Male
Vermont,Female,Cognitive,6.6,Both
Vermont,Male,Cognitive,5.9,Male
Virginia,Female,Cognitive,4.5,Both
Virginia,Male,Cognitive,4.8,Male
Washington,Female,Cognitive,5.4,Both
Washington,Male,Cognitive,5.4,Male
West Virginia,Female,Cognitive,7.8,Both
West Virginia,Male,Cognitive,8.2,Male
Wisconsin,Female,Cognitive,4.7,Both
Wisconsin,Male,Cognitive,4.8,Male
Wyoming,Female,Cognitive,4,Both
Wyoming,Male,Cognitive,5.3,Male
